"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]"
0,1176,0.09183235,0.066159025
0,1179,0.09072821,0.06534077
0,1182,0.08963797,0.064533085
0,1185,0.08856145,0.06373583
0,1188,0.087498486,0.06294887
0,1191,0.08644888,0.062172063
0,1194,0.085412465,0.061405275
0,1197,0.08438907,0.060648367
0,1200,0.083378516,0.059901208
0,1203,0.082380645,0.05916367
0,1206,0.08139528,0.058435626
0,1209,0.08042227,0.057716943
0,1212,0.07946144,0.057007503
0,1215,0.07851264,0.056307174
0,1218,0.07757573,0.055615854
0,1221,0.07665053,0.05493341
0,1224,0.0757369,0.054259725
0,1227,0.07483469,0.053594682
0,1230,0.07394375,0.05293817
0,1233,0.073063925,0.05229007
0,1236,0.072195075,0.05165027
0,1239,0.07133707,0.051018666
0,1242,0.07048974,0.050395142
0,1245,0.069652975,0.04977959
0,1248,0.06882662,0.049171913
0,1251,0.06801057,0.048572008
0,1254,0.067204654,0.047979765
0,1257,0.06640877,0.047395084
0,1260,0.06562276,0.046817865
0,1263,0.06484652,0.04624801
0,1266,0.06407992,0.04568542
0,1269,0.06332282,0.04513
0,1272,0.06257511,0.04458165
0,1275,0.06183666,0.044040285
0,1278,0.061107356,0.043505803
0,1281,0.06038709,0.042978127
0,1284,0.05967574,0.042457163
0,1287,0.05897318,0.041942816
0,1290,0.058279306,0.041435003
0,1293,0.057594005,0.040933635
0,1296,0.056917164,0.04043863
0,1299,0.05624868,0.0399499
0,1302,0.055588435,0.03946737
0,1305,0.054936327,0.038990945
0,1308,0.054292254,0.038520556
0,1311,0.053656116,0.03805612
0,1314,0.053027812,0.037597567
0,1317,0.052407235,0.03714481
0,1320,0.05179429,0.03669778
0,1323,0.051188875,0.03625639
0,1326,0.0505909,0.035820577
0,1329,0.05000026,0.03539026
0,1332,0.04941687,0.034965377
0,1335,0.04884063,0.034545846
0,1338,0.04827145,0.034131598
0,1341,0.04770924,0.03372257
0,1344,0.047153924,0.033318695
0,1347,0.0466054,0.0329199
0,1350,0.046063587,0.03252612
0,1353,0.045528393,0.032137293
0,1356,0.04499974,0.03175335
0,1359,0.04447754,0.031374227
0,1362,0.04396171,0.030999862
0,1365,0.043452177,0.030630192
0,1368,0.04294885,0.030265156
0,1371,0.042451654,0.029904693
0,1374,0.041960515,0.029548747
0,1377,0.04147536,0.029197259
0,1380,0.0409961,0.02885017
0,1383,0.040522672,0.02850742
0,1386,0.040054996,0.028168956
0,1389,0.039592996,0.027834719
0,1392,0.039136607,0.027504656
0,1395,0.03868575,0.027178712
0,1398,0.038240362,0.026856832
0,1401,0.037800368,0.026538964
0,1404,0.037365705,0.026225058
0,1407,0.036936305,0.025915066
0,1410,0.036512103,0.02560893
0,1413,0.03609303,0.025306605
0,1416,0.03567902,0.025008038
0,1419,0.03527001,0.024713183
0,1422,0.034865938,0.02442199
0,1425,0.034466743,0.024134412
0,1428,0.03407236,0.023850402
0,1431,0.033682726,0.023569914
0,1434,0.03329779,0.023292901
0,1437,0.03291749,0.023019325
0,1440,0.032541763,0.022749137
